0,1,2
11,"If the radius of a sphere is doubled, then what is the ratio of their surface area?",c
12,Two right circular cones of equal curved surface areas have slant heights in the ratio of 3 : 5. Find the ratio of their radii. (a) 4 : 1 (b) 3 : 5 (c) 5 : 3 (d) 4 : 5,(c)
13,The heights of two cones are in the ratio 3:5 and their radii are in the ratio 7:3. Find the ratio of their volume. (a) 49:15 (b) 7:5 (c) 36: 7 (d) 4:1,( a)
14,"A cone completely made of metal (i.e. it is not hollow) has a base radius of 5 cm, and height of 20 cm. If we melt it and recast it into a sphere, what will be the radius of the sphere? (a) 7cm (b) 2cm (c ) 5cm (d) 10 cm",( c)
15,"A sphere is just enclosed inside a right circular cylinder. If the surface area of the sphere is 170 cm 2 , find the curved surface area of the cylinder. (a ) 85 cm 2 (b) 170 cm 2 (c) 255 cm 2 (d) 340 cm 2",(b)
II. Solve the following:,II. Solve the following:,II. Solve the following:
1,A cube of side 4 cm contains a sphere touching its sides. Find the volume of the gap in between.,30.47 cu.cm
2,A conical pit of top diameter 3.5 mis 12 mdeep. What is its capacity in kiloliters?,38.5 kl
3,What is the volume of the largest right circular cone that can be cut out of a cube of edge 7 cm?,89.8 cu cm
4,Find the radius of the sphere whose surface area is 154 cm 2 .,3.5 cm
5,The surface area of a sphere is 24.64 cm 2 . Find its volume.,11.4986 cm3
6,A cone and a hemisphere have equal bases and equal volumes. Find the ratio of their heights.,1:2
7,The dome of a building is in the form of a hemisphere. Its radius is 63 dm. Find the cost of painting it at the rate of Rs 2 per sq.m.,Rs.498.96
8,"A cone of radius 5 cm is filled with water. If the water is poured in a cylinder of radius 10 cm, the height of water rises 2 cm, find the height of the cone.",24 cm
